Division of Management Information Course Information System,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Enrollments and IUs by Course, Subject, and Offering Department",,,,,,,,,,,,,,,,
2018-19,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2018-19 courses are still in progress. Final figures will be available by the end of September.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1. By Term and Course,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Term,College,Dept,Subject,Course,Course Enrollment by student level,,,,,,IUs by student level,,,,,
,,,,,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total
,,,,,Soph,Senior,,,,,Soph,Senior,,,,
FA18,KT,1-408,ADV,150,300,67,0,0,0,367,900,201,0,0,0,"1,101.00"
FA18,KT,1-408,ADV,199,16,0,0,0,0,16,48,0,0,0,0,48
FA18,KT,1-408,ADV,281,60,33,0,0,0,93,180,99,0,0,0,279
FA18,KT,1-408,ADV,283,57,105,0,0,0,162,171,315,0,0,0,486
FA18,KT,1-408,ADV,284,23,129,0,0,0,152,69,387,0,0,0,456
FA18,KT,1-408,ADV,305,14,64,0,0,0,78,42,192,0,0,0,234
FA18,KT,1-408,ADV,310,43,84,0,0,0,127,129,252,0,0,0,381
FA18,KT,1-408,ADV,311,11,31,0,0,0,42,33,93,0,0,0,126
FA18,KT,1-408,ADV,350,0,38,0,0,0,38,0,114,0,0,0,114
FA18,KT,1-408,ADV,390,3,140,0,0,0,143,9,420,0,0,0,429
FA18,KT,1-408,ADV,393,11,72,0,0,0,83,33,216,0,0,0,249
FA18,KT,1-408,ADV,396,0,6,0,0,0,6,0,13,0,0,0,13
FA18,KT,1-408,ADV,409,6,43,0,0,0,49,18,129,0,0,0,147
FA18,KT,1-408,ADV,410,1,58,0,0,0,59,3,174,0,0,0,177
FA18,KT,1-408,ADV,452,0,16,0,0,0,16,0,48,0,0,0,48
FA18,KT,1-408,ADV,460,0,112,0,0,0,112,0,336,0,0,0,336
FA18,KT,1-408,ADV,478,0,4,0,0,0,4,0,12,0,0,0,12
FA18,KT,1-408,ADV,482,1,2,0,0,0,3,3,6,0,0,0,9
FA18,KT,1-408,ADV,483,0,96.2,0,0,0,96.2,0,318,0,0,0,318
FA18,KT,1-408,ADV,490,0,8.8,0,0,0,8.8,0,27,0,0,0,27
FA18,KT,1-408,ADV,495,0,16,0,0,0,16,0,16,0,0,0,16
FA18,KT,1-408,ADV,498,0,105,0,1,0,106,0,315,0,3,0,318
FA18,KT,1-408,ADV,509,0,0,0,3,0,3,0,0,0,9,0,9
FA18,KT,1-408,ADV,550,0,0,0,11,0,11,0,0,0,33,0,33
FA18,KT,1-408,ADV,580,1,0,0,8,2,11,3,0,0,24,6,33
FA18,KT,1-408,ADV,582,0,0,0,9,5,14,0,0,0,27,15,42
FA18,KT,1-408,ADV,587,1,0,0,9,0,10,3,0,0,27,0,30
FA18,KT,1-408,ADV,590,0,0,0,6.2,7.8,14,0,0,0,25,12,37
FA18,KT,1-408,ADV,598,0,0,0,2,0,2,0,0,0,12,0,12
FA18,KT,1-408,ADV,599,0,0,0,2,0,2,0,0,0,12,0,12
FA18,KT,1-436,MACS,100,500,93,0,0,0,593,"1,500.00",279,0,0,0,"1,779.00"
FA18,KT,1-436,MACS,101,171,121,0,0,0,292,513,363,0,0,0,876
FA18,KT,1-436,MACS,199,23,11,0,0,0,34,69,33,0,0,0,102
FA18,KT,1-436,MACS,203,27,32,0,0,0,59,81,96,0,0,0,177
FA18,KT,1-436,MACS,205,12,6,0,0,0,18,36,18,0,0,0,54
FA18,KT,1-436,MACS,261,26,19,0,0,0,45,78,57,0,0,0,135
FA18,KT,1-436,MACS,264,19,19,0,0,0,38,76,76,0,0,0,152
FA18,KT,1-436,MACS,317,12,28,0,0,0,40,36,84,0,0,0,120
FA18,KT,1-436,MACS,320,7,33,0,0,0,40,21,99,0,0,0,120
FA18,KT,1-436,MACS,326,5,39,0,0,0,44,15,117,0,0,0,132
FA18,KT,1-436,MACS,351,15,18,0,0,0,33,45,54,0,0,0,99
FA18,KT,1-436,MACS,356,23,63,0,1,0,87,69,189,0,3,0,261
FA18,KT,1-436,MACS,361,6,14,0,1,0,21,18,42,0,3,0,63
FA18,KT,1-436,MACS,389,3,20,0,0,0,23,9,60,0,0,0,69
FA18,KT,1-436,MACS,391,0,1,0,0,0,1,0,3,0,0,0,3
FA18,KT,1-436,MACS,495,0,1,0,0,0,1,0,1,0,0,0,1
FA18,KT,1-436,MACS,496,1,4,0,0,0,5,3,12,0,0,0,15
FA18,KT,1-436,MACS,503,0,0,0,2,4,6,0,0,0,8,16,24
FA18,KT,1-642,JOUR,199,38,0,0,0,0,38,114,0,0,0,0,114
FA18,KT,1-642,JOUR,200,130,90,0,0,0,220,390,270,0,0,0,660
FA18,KT,1-642,JOUR,205,22,20,0,0,0,42,66,60,0,0,0,126
FA18,KT,1-642,JOUR,210,21,26,0,0,0,47,84,104,0,0,0,188
FA18,KT,1-642,JOUR,215,6,17,0,0,0,23,24,68,0,0,0,92
FA18,KT,1-642,JOUR,220,7,29,0,0,0,36,28,116,0,0,0,144
FA18,KT,1-642,JOUR,250,7,38,0,0,0,45,21,114,0,0,0,135
FA18,KT,1-642,JOUR,293,13,35,0,0,0,48,39,105,0,0,0,144
FA18,KT,1-642,JOUR,311,11,26,0,0,0,37,33,78,0,0,0,111
FA18,KT,1-642,JOUR,315,0,16,0,0,0,16,0,64,0,0,0,64
FA18,KT,1-642,JOUR,335,2,16,0,0,0,18,8,64,0,0,0,72
FA18,KT,1-642,JOUR,340,1,20,0,0,0,21,4,80,0,0,0,84
FA18,KT,1-642,JOUR,360,5,29,0,0,0,34,15,87,0,0,0,102
FA18,KT,1-642,JOUR,425,0,17,0,0,0,17,0,68,0,0,0,68
FA18,KT,1-642,JOUR,445,0,15,0,0,0,15,0,60,0,0,0,60
FA18,KT,1-642,JOUR,451,1,12,0,0,0,13,3,36,0,0,0,39
FA18,KT,1-642,JOUR,452,1,13,0,0,0,14,3,39,0,0,0,42
FA18,KT,1-642,JOUR,460,12,43,0,4,1,60,41,136,0,14,3,194
FA18,KT,1-642,JOUR,482,0,1,0,2,1,4,0,3,0,8,4,15
FA18,KT,1-642,JOUR,483,2,3,0,2,0,7,6,9,0,6,0,21
FA18,KT,1-642,JOUR,495,0,8,0,1,0,9,0,8,0,1,0,9
FA18,KT,1-642,JOUR,501,0,0,0,3,1,4,0,0,0,12,4,16
FA18,KT,1-642,JOUR,505,0,0,0,4,0,4,0,0,0,16,0,16
FA18,KT,1-642,JOUR,515,0,0,0,1,0,1,0,0,0,4,0,4
FA18,KT,1-642,JOUR,590,0,0,0,4,0,4,0,0,0,12,0,12
FA18,KT,1-646,MDIA,100,126,0,0,0,0,126,126,0,0,0,0,126
FA18,KT,1-646,MDIA,199,28,9,0,0,0,37,28,9,0,0,0,37
FA18,KT,1-646,MDIA,270,13,52,0,0,0,65,39,156,0,0,0,195
FA18,KT,1-646,MDIA,299,1,16,0,0,0,17,12,201,0,0,0,213
FA18,KT,1-646,MDIA,320,9,94,0,0,0,103,27,282,0,0,0,309
FA18,KT,1-646,MDIA,370,7,75,0,0,0,82,21,225,0,0,0,246
FA18,KT,1-646,MDIA,380,5,20,0,0,0,25,15,60,0,0,0,75
FA18,KT,1-646,MDIA,571,1,0,0,0,3,4,4,0,0,0,12,16
FA18,KT,1-646,MDIA,590,0,0,0,0,6,6,0,0,0,0,22,22
FA18,KT,1-646,MDIA,599,0,0,0,0,29,29,0,0,0,0,290,290
FA18,KT,1-646,SBC,500,0,0,0,46,0,46,0,0,0,92,0,92
FA18,KT,1-646,SBC,501,0,0,0,46,0,46,0,0,0,92,0,92
FA18,KT,1-646,SBC,502,0,0,0,45,0,45,0,0,0,135,0,135
FA18,KT,1-646,SBC,503,0,0,0,45,0,45,0,0,0,135,0,135
FA18,KT,1-646,SBC,511,0,0,0,29,0,29,0,0,0,58,0,58
FA18,KT,1-646,SBC,512,0,0,0,29,0,29,0,0,0,58,0,58
,,,,,,,,,,,,,,,,
"2. By Term, Subject, and Level",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Term,College,Dept,Subject,Level,Course Enrollment by student level,,,,,,IUs by student level,,,,,
,,,,,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total
,,,,,Soph,Senior,,,,,Soph,Senior,,,,
FA18,KT,1-408,ADV,100,316,67,0,0,0,383,948,201,0,0,0,"1,149.00"
FA18,KT,1-408,ADV,200,140,267,0,0,0,407,420,801,0,0,0,"1,221.00"
FA18,KT,1-408,ADV,300,82,435,0,0,0,517,246,"1,300.00",0,0,0,"1,546.00"
FA18,KT,1-408,ADV,400,8,461,0,1,0,470,24,"1,381.00",0,3,0,"1,408.00"
FA18,KT,1-408,ADV,500,2,0,0,50.2,14.8,67,6,0,0,169,33,208
FA18,KT,1-436,MACS,100,694,225,0,0,0,919,"2,082.00",675,0,0,0,"2,757.00"
FA18,KT,1-436,MACS,200,84,76,0,0,0,160,271,247,0,0,0,518
FA18,KT,1-436,MACS,300,71,216,0,2,0,289,213,648,0,6,0,867
FA18,KT,1-436,MACS,400,1,5,0,0,0,6,3,13,0,0,0,16
FA18,KT,1-436,MACS,500,0,0,0,2,4,6,0,0,0,8,16,24
FA18,KT,1-642,JOUR,100,38,0,0,0,0,38,114,0,0,0,0,114
FA18,KT,1-642,JOUR,200,206,255,0,0,0,461,652,837,0,0,0,"1,489.00"
FA18,KT,1-642,JOUR,300,19,107,0,0,0,126,60,373,0,0,0,433
FA18,KT,1-642,JOUR,400,16,112,0,9,2,139,53,359,0,29,7,448
FA18,KT,1-642,JOUR,500,0,0,0,12,1,13,0,0,0,44,4,48
FA18,KT,1-646,MDIA,100,154,9,0,0,0,163,154,9,0,0,0,163
FA18,KT,1-646,MDIA,200,14,68,0,0,0,82,51,357,0,0,0,408
FA18,KT,1-646,MDIA,300,21,189,0,0,0,210,63,567,0,0,0,630
FA18,KT,1-646,MDIA,500,1,0,0,0,38,39,4,0,0,0,324,328
FA18,KT,1-646,SBC,500,0,0,0,240,0,240,0,0,0,570,0,570
,,,,,,,,,,,,,,,,
3. By Term and Subject,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Term,College,Dept,Subject,Course,Course Enrollment by student level,,,,,,IUs by student level,,,,,
,,,,,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total
,,,,,Soph,Senior,,,,,Soph,Senior,,,,
FA18,KT,1-408,ADV,All,548,"1,230.00",0,51.2,14.8,"1,844.00","1,644.00","3,683.00",0,172,33,"5,532.00"
FA18,KT,1-436,MACS,All,850,522,0,4,4,"1,380.00","2,569.00","1,583.00",0,14,16,"4,182.00"
FA18,KT,1-642,JOUR,All,279,474,0,21,3,777,879,"1,569.00",0,73,11,"2,532.00"
FA18,KT,1-646,MDIA,All,190,266,0,0,38,494,272,933,0,0,324,"1,529.00"
FA18,KT,1-646,SBC,All,0,0,0,240,0,240,0,0,0,570,0,570
,,,,,,,,,,,,,,,,
4. By Subject (All terms),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Term,College,Dept,Subject,Course,Course Enrollment by student level,,,,,,IUs by student level,,,,,
,,,,,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total
,,,,,Soph,Senior,,,,,Soph,Senior,,,,
