Division of Management Information Course Information System,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Enrollments and IUs by Course, Subject, and Offering Department",,,,,,,,,,,,,,,,
2018-19,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2018-19 courses are still in progress. Final figures will be available by the end of September.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1. By Term and Course,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Term,College,Dept,Subject,Course,Course Enrollment by student level,,,,,,IUs by student level,,,,,
,,,,,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total
,,,,,Soph,Senior,,,,,Soph,Senior,,,,
FA18,KV,1-241,ANTH,101,351,81,0,0,0,432,"1,053.00",243,0,0,0,"1,296.00"
FA18,KV,1-241,ANTH,103,304,258,0,0,0,562,912,774,0,0,0,"1,686.00"
FA18,KV,1-241,ANTH,104,42,7,0,0,0,49,126,21,0,0,0,147
FA18,KV,1-241,ANTH,105,47,13,0,0,0,60,141,39,0,0,0,180
FA18,KV,1-241,ANTH,143,484,187,0,0,0,671,"1,452.00",561,0,0,0,"2,013.00"
FA18,KV,1-241,ANTH,165,4,15,0,0,0,19,12,45,0,0,0,57
FA18,KV,1-241,ANTH,180,204,96,0,0,0,300,612,288,0,0,0,900
FA18,KV,1-241,ANTH,199,2,11,0,0,0,13,4,22,0,0,0,26
FA18,KV,1-241,ANTH,220,26,16,0,0,0,42,78,48,0,0,0,126
FA18,KV,1-241,ANTH,230,19,26,0,0,0,45,57,78,0,0,0,135
FA18,KV,1-241,ANTH,246,213,237,0,0,0,450,852,948,0,0,0,"1,800.00"
FA18,KV,1-241,ANTH,278,3,5,0,0,1,9,9,15,0,0,3,27
FA18,KV,1-241,ANTH,368,4,20,0,0,0,24,12,60,0,0,0,72
FA18,KV,1-241,ANTH,372,5,33,0,0,0,38,15,99,0,0,0,114
FA18,KV,1-241,ANTH,390,1,4,0,0,0,5,2,11,0,0,0,13
FA18,KV,1-241,ANTH,399,5,30,0,0,0,35,15,90,0,0,0,105
FA18,KV,1-241,ANTH,405,1,7,0,2,1,11,3,21,0,8,4,36
FA18,KV,1-241,ANTH,435,1,9,0,0,4,14,3,27,0,0,16,46
FA18,KV,1-241,ANTH,440,1,13,0,0,0,14,3,39,0,0,0,42
FA18,KV,1-241,ANTH,441,2,22,0,0,3,27,6,68,0,0,12,86
FA18,KV,1-241,ANTH,444,0,2,0,0,4,6,0,6,0,0,12,18
FA18,KV,1-241,ANTH,445,0,0,0,0,7,7,0,0,0,0,23,23
FA18,KV,1-241,ANTH,453,0,13,0,5,6,24,0,39,0,20,24,83
FA18,KV,1-241,ANTH,454,0,1,0,0,0,1,0,3,0,0,0,3
FA18,KV,1-241,ANTH,455,0,1,0,0,0,1,0,3,0,0,0,3
FA18,KV,1-241,ANTH,460,0,7,0,0,2,9,0,21,0,0,8,29
FA18,KV,1-241,ANTH,494,0,7,0,0,0,7,0,19,0,0,0,19
FA18,KV,1-241,ANTH,498,0,23,0,0,0,23,0,69,0,0,0,69
FA18,KV,1-241,ANTH,499,0,8,0,3,7,18,0,32,0,12,28,72
FA18,KV,1-241,ANTH,511,0,0,0,0,6,6,0,0,0,0,24,24
FA18,KV,1-241,ANTH,512,0,0,0,2,7,9,0,0,0,8,28,36
FA18,KV,1-241,ANTH,515,0,0,0,0,7,7,0,0,0,0,20,20
FA18,KV,1-241,ANTH,589,0,0,0,4,19,23,0,0,0,16,68,84
FA18,KV,1-241,ANTH,590,0,0,0,0,4,4,0,0,0,0,24,24
FA18,KV,1-241,ANTH,599,0,0,0,0,25,25,0,0,0,0,190,190
FA18,KV,1-241,MUSE,200,4,11,0,0,0,15,12,33,0,0,0,45
FA18,KV,1-241,MUSE,500,0,0,0,9,6,15,0,0,0,36,24,60
FA18,KV,1-253,ATMS,100,167,45,0,1,0,213,501,135,0,3,0,639
FA18,KV,1-253,ATMS,120,180,433,0,0,0,613,540,"1,299.00",0,0,0,"1,839.00"
FA18,KV,1-253,ATMS,140,74,27,0,0,0,101,222,81,0,0,0,303
FA18,KV,1-253,ATMS,201,16,24,0,0,0,40,48,72,0,0,0,120
FA18,KV,1-253,ATMS,205,5,5,0,0,0,10,15,15,0,0,0,30
FA18,KV,1-253,ATMS,301,3,22,0,0,0,25,9,66,0,0,0,75
FA18,KV,1-253,ATMS,302,2,23,0,0,0,25,6,69,0,0,0,75
FA18,KV,1-253,ATMS,303,12,17,0,0,0,29,48,68,0,0,0,116
FA18,KV,1-253,ATMS,305,7,15,0,1,0,23,21,45,0,3,0,69
FA18,KV,1-253,ATMS,391,0,7,0,0,0,7,0,21,0,0,0,21
FA18,KV,1-253,ATMS,405,0,0,0,3,4,7,0,0,0,12,16,28
FA18,KV,1-253,ATMS,421,0,29,0,0,4,33,0,116,0,0,16,132
FA18,KV,1-253,ATMS,490,1,3,0,0,0,4,1,7,0,0,0,8
FA18,KV,1-253,ATMS,491,0,1,0,1,2,4,0,4,0,4,8,16
FA18,KV,1-253,ATMS,492,0,13,0,0,0,13,0,52,0,0,0,52
FA18,KV,1-253,ATMS,500,0,0,0,2,6,8,0,0,0,8,24,32
FA18,KV,1-253,ATMS,504,0,0,0,10,7,17,0,0,0,40,28,68
FA18,KV,1-253,ATMS,571,0,0,0,4,7,11,0,0,0,4,7,11
FA18,KV,1-253,ATMS,591,0,0,0,12,31,43,0,0,0,48,124,172
FA18,KV,1-253,ATMS,597,0,0,0,6,17,23,0,0,0,24,68,92
FA18,KV,1-253,ATMS,599,0,0,0,9,32,41,0,0,0,58,252,310
FA18,KV,1-257,ASRM,199,100,1,0,0,0,101,156,1,0,0,0,157
FA18,KV,1-257,ASRM,210,53,27,0,0,0,80,159,81,0,0,0,240
FA18,KV,1-257,ASRM,390,0,8,0,0,0,8,0,24,0,0,0,24
FA18,KV,1-257,ASRM,392,15,28,0,1,0,44,15,28,0,1,0,44
FA18,KV,1-257,ASRM,406,11,34,0,0,0,45,33,102,0,0,0,135
FA18,KV,1-257,ASRM,410,1,87,0,0,0,88,3,261,0,0,0,264
FA18,KV,1-257,ASRM,461,0,23,0,0,0,23,0,69,0,0,0,69
FA18,KV,1-257,ASRM,469,0,25,0,0,0,25,0,75,0,0,0,75
FA18,KV,1-257,ASRM,471,5,104,0,0,0,109,20,416,0,0,0,436
FA18,KV,1-257,ASRM,490,0,0,0,6,0,6,0,0,0,24,0,24
FA18,KV,1-257,ASRM,510,0,0,0,27,1,28,0,0,0,108,4,112
FA18,KV,1-257,ASRM,569,0,0,0,16,1,17,0,0,0,64,4,68
FA18,KV,1-257,ASRM,575,0,0,0,17,0,17,0,0,0,68,0,68
FA18,KV,1-257,ASRM,598,0,0,0,17,0,17,0,0,0,68,0,68
FA18,KV,1-257,MATH,2,12,0,0,0,0,12,36,0,0,0,0,36
FA18,KV,1-257,MATH,101,50,1,0,0,0,51,150,3,0,0,0,153
FA18,KV,1-257,MATH,103,72,13,0,0,0,85,288,52,0,0,0,340
FA18,KV,1-257,MATH,112,425,4,0,0,0,429,"1,275.00",12,0,0,0,"1,287.00"
FA18,KV,1-257,MATH,115,506,6,0,0,0,512,"1,518.00",18,0,0,0,"1,536.00"
FA18,KV,1-257,MATH,119,15,11,0,0,0,26,45,33,0,0,0,78
FA18,KV,1-257,MATH,124,102,14,0,0,0,116,306,42,0,0,0,348
FA18,KV,1-257,MATH,125,42,24,0,0,0,66,126,72,0,0,0,198
FA18,KV,1-257,MATH,181,19,10,0,0,0,29,57,30,0,0,0,87
FA18,KV,1-257,MATH,199,419,49,0,0,0,468,435,75,0,0,0,510
FA18,KV,1-257,MATH,213,23,85,0,0,0,108,69,255,0,0,0,324
FA18,KV,1-257,MATH,220,705,78,0,3,0,786,"3,525.00",390,0,15,0,"3,930.00"
FA18,KV,1-257,MATH,221,901,20,0,1,0,922,"3,604.00",80,0,4,0,"3,688.00"
FA18,KV,1-257,MATH,225,126,153,0,1,0,280,252,306,0,2,0,560
FA18,KV,1-257,MATH,231,996,106,0,4,2,"1,108.00","2,988.00",318,0,12,6,"3,324.00"
FA18,KV,1-257,MATH,241,"1,400.00",260,0,2,0,"1,662.00","5,600.00","1,040.00",0,8,0,"6,648.00"
FA18,KV,1-257,MATH,285,247,303,0,4,0,554,741,909,0,12,0,"1,662.00"
