Division of Management Information Course Information System,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Enrollments and IUs by Course, Subject, and Offering Department",,,,,,,,,,,,,,,,
2018-19,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2018-19 courses are still in progress. Final figures will be available by the end of September.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1. By Term and Course,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Term,College,Dept,Subject,Course,Course Enrollment by student level,,,,,,IUs by student level,,,,,
,,,,,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total
,,,,,Soph,Senior,,,,,Soph,Senior,,,,
FA18,KL,1-306,ACES,101,494,2,0,0,0,496,988,4,0,0,0,992
FA18,KL,1-306,ACES,179,22,34,0,1,0,57,66,102,0,3,0,171
FA18,KL,1-306,ACES,199,42,7,0,0,0,49,84,14,0,0,0,98
FA18,KL,1-306,ACES,200,42,51,0,0,0,93,84,102,0,0,0,186
FA18,KL,1-306,ACES,298,38,0,0,0,0,38,114,0,0,0,0,114
FA18,KL,1-306,ACES,299,1,10,0,0,0,11,12,120,0,0,0,132
FA18,KL,1-306,ACES,499,0,2,0,6,5,13,0,4,0,12,10,26
FA18,KL,1-342,AGED,100,14,0,0,0,0,14,28,0,0,0,0,28
FA18,KL,1-342,AGED,199,2,6,0,0,0,8,2,6,0,0,0,8
FA18,KL,1-342,AGED,220,4,13,0,0,0,17,12,39,0,0,0,51
FA18,KL,1-342,AGED,230,31,56,0,0,0,87,93,168,0,0,0,261
FA18,KL,1-342,AGED,260,111,69,0,1,0,181,333,207,0,3,0,543
FA18,KL,1-342,AGED,280,4,24,0,0,0,28,8,48,0,0,0,56
FA18,KL,1-342,AGED,293,0,6,0,0,0,6,0,31,0,0,0,31
FA18,KL,1-342,AGED,295,0,6,0,0,0,6,0,14,0,0,0,14
FA18,KL,1-342,AGED,340,2,18,0,0,0,20,6,54,0,0,0,60
FA18,KL,1-342,AGED,350,0,11,0,0,0,11,0,33,0,0,0,33
FA18,KL,1-342,AGED,380,7,66,0,0,0,73,21,198,0,0,0,219
FA18,KL,1-342,AGED,400,0,6,0,12,0,18,0,18,0,36,0,54
FA18,KL,1-342,AGED,420,0,0,0,14,0,14,0,0,0,42,0,42
FA18,KL,1-342,AGED,421,0,11,0,0,0,11,0,33,0,0,0,33
FA18,KL,1-342,AGED,430,0,3,0,19,0,22,0,9,0,76,0,85
FA18,KL,1-342,AGED,480,0,32,0,0,0,32,0,96,0,0,0,96
FA18,KL,1-342,AGED,499,0,1,0,56,0,57,0,2,0,95,0,97
FA18,KL,1-342,AGED,500,0,0,0,11,0,11,0,0,0,44,0,44
FA18,KL,1-342,AGED,510,0,0,0,2,0,2,0,0,0,8,0,8
FA18,KL,1-342,AGED,511,0,0,0,2,0,2,0,0,0,2,0,2
FA18,KL,1-342,AGED,549,0,0,0,3,0,3,0,0,0,9,0,9
FA18,KL,1-402,AGCM,110,21,6,0,0,0,27,63,18,0,0,0,81
FA18,KL,1-402,AGCM,220,9,14,0,0,0,23,27,42,0,0,0,69
FA18,KL,1-402,AGCM,250,1,3,0,0,0,4,2,6,0,0,0,8
FA18,KL,1-402,AGCM,270,1,11,0,0,0,12,3,33,0,0,0,36
FA18,KL,1-402,AGCM,293,0,1,0,0,0,1,0,1,0,0,0,1
FA18,KL,1-402,AGCM,294,0,3,0,0,0,3,0,6,0,0,0,6
FA18,KL,1-402,AGCM,430,3,13,0,0,0,16,9,39,0,0,0,48
FA18,KL,1-470,ACE,100,146,21,0,0,0,167,584,84,0,0,0,668
FA18,KL,1-470,ACE,161,260,149,0,0,0,409,780,447,0,0,0,"1,227.00"
FA18,KL,1-470,ACE,199,21,43,0,2,0,66,46,103,0,4,0,153
FA18,KL,1-470,ACE,210,62,106,0,1,0,169,186,318,0,3,0,507
FA18,KL,1-470,ACE,222,63,89,0,1,0,153,189,267,0,3,0,459
FA18,KL,1-470,ACE,240,123,210,1,0,1,335,369,630,3,0,3,"1,005.00"
FA18,KL,1-470,ACE,251,79,92,0,0,0,171,237,276,0,0,0,513
FA18,KL,1-470,ACE,261,49,40,0,1,0,90,196,160,0,4,0,360
FA18,KL,1-470,ACE,293,3,15,0,0,0,18,7,28,0,0,0,35
FA18,KL,1-470,ACE,294,0,3,0,1,0,4,0,5,0,1,0,6
FA18,KL,1-470,ACE,295,5,15,0,0,0,20,12,25,0,0,0,37
FA18,KL,1-470,ACE,306,7,37,0,1,0,45,21,111,0,3,0,135
FA18,KL,1-470,ACE,335,5,25,0,0,0,30,15,75,0,0,0,90
FA18,KL,1-470,ACE,341,31,44,0,0,0,75,37,51,0,0,0,88
FA18,KL,1-470,ACE,345,4,125,0,0,0,129,12,375,0,0,0,387
FA18,KL,1-470,ACE,346,6,62,0,0,0,68,18,186,0,0,0,204
FA18,KL,1-470,ACE,398,15,44,0,0,0,59,45,132,0,0,0,177
FA18,KL,1-470,ACE,406,1,25,0,3,0,29,3,75,0,12,0,90
FA18,KL,1-470,ACE,411,2,40,0,6,3,51,6,120,0,19,11,156
FA18,KL,1-470,ACE,427,5,98,0,5,0,108,15,294,0,15,0,324
FA18,KL,1-470,ACE,428,4,34,0,5,1,44,12,102,0,15,3,132
FA18,KL,1-470,ACE,432,0,18,0,3,0,21,0,54,0,10,0,64
FA18,KL,1-470,ACE,435,10,67,0,0,0,77,30,201,0,0,0,231
FA18,KL,1-470,ACE,436,0,26,0,0,0,26,0,104,0,0,0,104
FA18,KL,1-470,ACE,444,3,88,0,1,0,92,9,264,0,3,0,276
FA18,KL,1-470,ACE,445,3,31,0,0,0,34,12,124,0,0,0,136
FA18,KL,1-470,ACE,455,2,59,0,1,0,62,6,177,0,3,0,186
FA18,KL,1-470,ACE,471,0,12,0,0,0,12,0,36,0,0,0,36
FA18,KL,1-470,ACE,499,0,33,0,2,0,35,0,99,0,6,0,105
FA18,KL,1-470,ACE,500,0,1,0,14,1,16,0,4,0,56,4,64
FA18,KL,1-470,ACE,501,0,0,0,3,5,8,0,0,0,12,20,32
FA18,KL,1-470,ACE,510,1,0,0,3,3,7,4,0,0,12,12,28
FA18,KL,1-470,ACE,520,0,0,0,5,1,6,0,0,0,20,4,24
FA18,KL,1-470,ACE,531,1,0,0,8,12,21,2,0,0,16,24,42
FA18,KL,1-470,ACE,562,0,2,0,12,10,24,0,4,0,24,20,48
FA18,KL,1-470,ACE,564,0,3,0,12,10,25,0,6,0,24,20,50
FA18,KL,1-470,ACE,569,0,0,0,0,10,10,0,0,0,0,10,10
FA18,KL,1-470,ACE,571,0,0,0,4,11,15,0,0,0,8,22,30
FA18,KL,1-470,ACE,591,0,1,0,4,0,5,0,3,0,5,0,8
FA18,KL,1-470,ACE,592,0,0,0,25,19,44,0,0,0,58,67,125
FA18,KL,1-470,ACE,594,0,0,0,8,21,29,0,0,0,18,60,78
FA18,KL,1-470,ACE,599,0,0,0,9,49,58,0,0,0,49,395,444
FA18,KL,1-538,ANSC,100,160,16,0,0,0,176,640,64,0,0,0,704
FA18,KL,1-538,ANSC,103,49,27,0,0,0,76,98,54,0,0,0,152
FA18,KL,1-538,ANSC,110,67,11,0,0,0,78,201,33,0,0,0,234
FA18,KL,1-538,ANSC,199,5,4,0,0,0,9,6,6,0,0,0,12
FA18,KL,1-538,ANSC,206,11,28,0,0,0,39,33,84,0,0,0,117
FA18,KL,1-538,ANSC,207,213,165,0,0,0,378,639,495,0,0,0,"1,134.00"
FA18,KL,1-538,ANSC,219,1,9,0,0,0,10,3,27,0,0,0,30
FA18,KL,1-538,ANSC,221,108,43,0,0,0,151,324,129,0,0,0,453
FA18,KL,1-538,ANSC,222,105,66,0,0,0,171,315,198,0,0,0,513
FA18,KL,1-538,ANSC,250,143,171,0,0,0,314,429,513,0,0,0,942
FA18,KL,1-538,ANSC,251,3,45,0,0,1,49,9,135,0,0,3,147
FA18,KL,1-538,ANSC,298,56,29,0,0,0,85,56,29,0,0,0,85
FA18,KL,1-538,ANSC,305,5,30,0,0,0,35,15,90,0,0,0,105
FA18,KL,1-538,ANSC,307,13,58,0,0,0,71,39,174,0,0,0,213
FA18,KL,1-538,ANSC,310,0,5,0,0,0,5,0,15,0,0,0,15
FA18,KL,1-538,ANSC,312,0,5,0,0,0,5,0,15,0,0,0,15
